period,country,year,month,demonstrations_events,civilian_targeting_events,civilian_targeting_fatalities,political_violence_events,political_violence_fatalities,total_events,total_fatalities
1997-01,Kenya,1997,1,1,3,6,3,6,7,12
1997-02,Kenya,1997,2,5,3,9,3,9,11,18
1997-03,Kenya,1997,3,0,3,147,6,179,9,326
1997-04,Kenya,1997,4,2,3,1,4,7,9,8
1997-05,Kenya,1997,5,3,0,0,4,22,7,22
1997-06,Kenya,1997,6,2,1,0,3,1,6,1
1997-07,Kenya,1997,7,13,5,22,6,22,24,44
1997-08,Kenya,1997,8,1,13,49,25,70,39,119
1997-09,Kenya,1997,9,1,9,62,16,97,26,159
1997-10,Kenya,1997,10,4,3,7,10,29,17,36
1997-11,Kenya,1997,11,2,10,1,14,16,26,17
1997-12,Kenya,1997,12,4,3,5,12,12,19,17
1998-01,Kenya,1998,1,1,12,7,21,7,34,14
1998-02,Kenya,1998,2,3,2,0,3,0,8,0
1998-03,Kenya,1998,3,7,2,2,3,2,12,4
1998-04,Kenya,1998,4,7,7,1,14,6,28,7
1998-05,Kenya,1998,5,3,3,1,6,2,12,3
1998-06,Kenya,1998,6,2,1,0,1,0,4,0
1998-07,Kenya,1998,7,29,2,1,4,85,35,86
1998-08,Kenya,1998,8,2,1,213,3,225,6,438
1998-09,Kenya,1998,9,0,2,2,5,2,7,4
1998-10,Kenya,1998,10,26,24,281,28,286,78,567
1998-11,Kenya,1998,11,1,0,0,3,0,4,0
1998-12,Kenya,1998,12,1,4,0,5,0,10,0
1999-01,Kenya,1999,1,18,8,1,18,12,44,13
1999-02,Kenya,1999,2,9,2,0,12,8,23,8
1999-03,Kenya,1999,3,6,9,101,12,104,27,205
1999-04,Kenya,1999,4,2,4,1,7,1,13,2
1999-05,Kenya,1999,5,0,5,0,11,2,16,2
1999-06,Kenya,1999,6,9,4,8,10,21,23,29
1999-07,Kenya,1999,7,5,2,0,13,0,20,0
1999-08,Kenya,1999,8,0,2,0,15,159,17,159
1999-09,Kenya,1999,9,0,1,0,4,1,5,1
1999-10,Kenya,1999,10,3,6,0,10,3,19,3
1999-11,Kenya,1999,11,0,7,13,12,13,19,26
1999-12,Kenya,1999,12,4,5,15,10,15,19,30
2000-01,Kenya,2000,1,1,6,18,7,28,14,46
2000-02,Kenya,2000,2,1,4,87,11,93,16,180
2000-03,Kenya,2000,3,3,6,20,8,22,17,42
2000-04,Kenya,2000,4,2,6,28,17,72,25,100
2000-05,Kenya,2000,5,0,7,17,12,37,19,54
2000-06,Kenya,2000,6,11,7,17,13,42,31,59
2000-07,Kenya,2000,7,1,4,60,7,70,12,130
2000-08,Kenya,2000,8,3,14,14,23,17,40,31
2000-09,Kenya,2000,9,6,4,18,7,19,17,37
2000-10,Kenya,2000,10,8,9,15,20,17,37,32
2000-11,Kenya,2000,11,4,8,12,12,13,24,25
2000-12,Kenya,2000,12,2,6,6,9,13,17,19
2001-01,Kenya,2001,1,0,6,26,21,59,27,85
2001-02,Kenya,2001,2,5,8,11,12,56,25,67
2001-03,Kenya,2001,3,4,6,124,28,135,38,259
2001-04,Kenya,2001,4,0,3,8,8,17,11,25
2001-05,Kenya,2001,5,3,5,9,9,20,17,29
2001-06,Kenya,2001,6,0,0,0,6,23,6,23
2001-07,Kenya,2001,7,2,4,9,23,37,29,46
2001-08,Kenya,2001,8,0,4,9,6,10,10,19
2001-09,Kenya,2001,9,0,1,8,12,87,13,95
2001-10,Kenya,2001,10,1,2,4,4,8,7,12
2001-11,Kenya,2001,11,0,3,9,10,46,13,55
2001-12,Kenya,2001,12,0,4,52,10,140,14,192
2002-01,Kenya,2002,1,1,8,9,14,31,23,40
2002-02,Kenya,2002,2,0,3,7,8,11,11,18
2002-03,Kenya,2002,3,1,8,93,13,96,22,189
2002-04,Kenya,2002,4,0,5,6,5,6,10,12
2002-05,Kenya,2002,5,5,7,3,8,4,20,7
2002-06,Kenya,2002,6,12,3,10,7,18,22,28
2002-07,Kenya,2002,7,5,8,22,16,58,29,80
2002-08,Kenya,2002,8,1,4,4,6,6,11,10
2002-09,Kenya,2002,9,11,19,83,29,94,59,177
