period,year,month,rfh_mean,rfh_avg_mean,rfh_anomaly,r1h_mean,r1h_avg_mean,r3h_mean,r3h_avg_mean,rfq_mean,r1q_mean,r3q_mean,observations
1981-01,1981,1,5.7652,14.8468,-9.0816,5.7652,14.8468,0.0,0.0,59.0437,16.2459,0.0,243
1981-02,1981,2,10.5262,13.7901,-3.2639,25.1832,42.2926,0.0,0.0,81.4252,66.4187,0.0,243
1981-03,1981,3,70.2982,33.9506,36.3476,108.8158,76.5115,86.5895,62.5875,191.9443,140.961,53.3519,243
1981-04,1981,4,80.7012,61.9097,18.7915,282.2219,160.6009,416.2209,279.405,131.2882,181.1532,156.7219,243
1981-05,1981,5,48.626,49.0177,-0.3917,191.7544,167.4195,582.7922,404.532,104.2245,121.9612,150.9764,243
1981-06,1981,6,17.0118,23.4404,-6.4286,58.5836,92.25,532.5599,420.2705,85.3699,72.6763,134.8692,243
1981-07,1981,7,29.7338,20.9574,8.7764,76.6336,61.6215,326.9716,321.2911,129.5968,119.8987,113.362,243
1981-08,1981,8,28.8836,24.2402,4.6434,90.493,69.8611,225.7102,223.7327,116.8146,126.532,102.8748,243
1981-09,1981,9,25.7663,21.2376,4.5287,75.9543,69.0679,243.0809,200.5506,119.2862,113.3679,120.4977,243
1981-10,1981,10,26.7176,34.3943,-7.6767,81.3329,84.6557,247.7802,223.5848,83.2671,99.0543,110.0905,243
1981-11,1981,11,24.2324,46.6301,-22.3977,78.8779,135.0922,236.1651,288.8158,55.658,58.6668,79.855,243
1981-12,1981,12,21.4627,27.4213,-5.9586,63.2165,100.3696,223.4273,320.1175,84.5254,64.2962,68.4818,243
1982-01,1982,1,9.1336,14.8468,-5.7132,41.22,56.07,183.3145,290.1601,71.9644,75.9099,62.0641,243
1982-02,1982,2,11.7826,13.7901,-2.0075,34.7446,42.2926,139.1811,196.9006,84.4701,78.5504,70.7284,243
1982-03,1982,3,19.2798,33.9506,-14.6708,39.3874,76.5115,115.3521,174.8741,61.2984,55.3047,67.2837,243
1982-04,1982,4,66.4262,61.9097,4.5165,144.6748,160.6009,218.8068,279.405,108.6546,91.2855,79.9145,243
1982-05,1982,5,67.2498,49.0177,18.2321,224.2107,167.4195,408.2729,404.532,135.0627,133.8338,102.8206,243
