period,year,month,adm_level,adm_id,pcode,rfh_mean,rfh_avg_mean,rfh_anomaly,r1h_mean,r3h_mean,rfq_mean,observations
1981-01,1981,1,1,51325,KE019,5.7557,17.1065,-11.3508,5.7557,0.0,49.2282,3
1981-01,1981,1,1,51326,KE004,4.6602,6.4153,-1.7551,4.6602,0.0,84.1399,3
1981-01,1981,1,1,51327,KE010,2.1405,6.4194,-4.2789,2.1405,0.0,62.5339,3
1981-01,1981,1,1,51328,KE047,5.1282,19.6821,-14.5539,5.1282,0.0,41.3092,3
1981-01,1981,1,1,51329,KE008,0.741,1.9511,-1.2101,0.741,0.0,83.0215,3
1981-01,1981,1,1,51330,KE043,9.6804,24.0414,-14.361,9.6804,0.0,51.2592,3
1981-01,1981,1,1,51331,KE023,3.3547,9.6684,-6.3137,3.3547,0.0,57.3,3
1981-01,1981,1,1,51332,KE037,8.0025,18.4308,-10.4283,8.0025,0.0,56.332,3
1981-01,1981,1,2,51333,KE022122,6.4683,21.9616,-15.4933,6.4683,0.0,42.8597,3
1981-01,1981,1,2,51334,KE020101,4.4514,14.4505,-9.9991,4.4514,0.0,48.9278,3
1981-01,1981,1,2,51335,KE021107,6.5,17.031,-10.531,6.5,0.0,52.6733,3
1981-01,1981,1,2,51336,KE021104,7.2759,17.2375,-9.9616,7.2759,0.0,55.756,3
1981-01,1981,1,2,51337,KE018090,4.4136,14.6602,-10.2466,4.4136,0.0,48.7935,3
1981-01,1981,1,2,51338,KE019095,6.7636,18.228,-11.4644,6.7636,0.0,51.473,3
1981-01,1981,1,2,51339,KE021110,5.7849,18.1185,-12.3336,5.7849,0.0,47.0293,3
1981-01,1981,1,2,51340,KE003015,8.6277,7.4533,1.1744,8.6277,0.0,110.1383,3
1981-01,1981,1,2,51341,KE002010,11.0892,10.1202,0.969,11.0892,0.0,108.1122,3
1981-01,1981,1,2,51342,KE005022,1.1806,2.7766,-1.596,1.1806,0.0,80.2168,3
1981-01,1981,1,2,51343,KE003017,4.3213,6.1215,-1.8002,4.3213,0.0,83.4093,3
1981-01,1981,1,2,51344,KE001003,10.6667,7.3667,3.3,10.6667,0.0,127.4228,3
1981-01,1981,1,2,51345,KE006026,8.2002,9.9305,-1.7303,8.2002,0.0,88.4604,3
1981-01,1981,1,2,51346,KE004018,1.7522,4.5353,-2.7831,1.7522,0.0,71.0003,3
1981-01,1981,1,2,51347,KE014064,3.7536,13.7014,-9.9478,3.7536,0.0,46.6824,3
1981-01,1981,1,2,51348,KE011049,1.1257,4.1915,-3.0658,1.1257,0.0,67.0155,3
1981-01,1981,1,2,51349,KE015074,2.8341,7.7659,-4.9318,2.8341,0.0,61.4187,3
