period,year,month,rfh_mean,rfh_avg_mean,rfh_anomaly,r1h_mean,r3h_mean,rfq_mean,demonstrations_events,civilian_targeting_events,civilian_targeting_fatalities,political_violence_events,political_violence_fatalities,total_events,total_fatalities,target_score,risk_band
1997-01,1997,1,10.3131,14.8468,-4.5337,28.8684,213.2127,75.1147,1,3,6,3,6,7,12,8.2,low
1997-02,1997,2,2.8722,13.7901,-10.9179,16.5975,129.0531,50.8078,5,3,9,3,9,11,18,12.8,low
1997-03,1997,3,25.0829,33.9506,-8.8677,32.7423,78.2081,72.8151,0,3,147,6,179,9,326,19.0,low
1997-04,1997,4,96.4678,61.9097,34.5581,234.7868,284.1265,152.3992,2,3,1,4,7,9,8,9.8,low
1997-05,1997,5,37.0656,49.0177,-11.9521,186.306,453.8351,79.166,3,0,0,4,22,7,22,9.2,low
1997-06,1997,6,25.2193,23.4404,1.7789,70.3453,491.4381,105.8482,2,1,0,3,1,6,1,6.1,low
1997-07,1997,7,21.227,20.9574,0.2696,73.0829,329.7342,103.3468,13,5,22,6,22,24,44,28.4,moderate
1997-08,1997,8,22.6832,24.2402,-1.557,72.4955,215.9237,96.5266,1,13,49,25,70,39,119,49.0,moderate
1997-09,1997,9,6.9158,21.2376,-14.3218,29.8259,175.4042,62.3643,1,9,62,16,97,26,159,36.0,moderate
1997-10,1997,10,58.8007,34.3943,24.4064,112.5708,214.8922,170.023,4,3,7,10,29,17,36,20.6,low
1997-11,1997,11,91.8756,46.6301,45.2455,255.2391,397.6358,194.338,2,10,1,14,16,26,17,27.7,moderate
1997-12,1997,12,61.114,27.4213,33.6927,223.2021,591.012,200.5658,4,3,5,12,12,19,17,20.7,low
1998-01,1998,1,48.9762,14.8468,34.1294,161.0922,639.5334,273.2106,1,12,7,21,7,34,14,35.4,moderate
1998-02,1998,2,23.1814,13.7901,9.3913,89.6925,473.9868,153.591,3,2,0,3,0,8,0,8.0,low
1998-03,1998,3,22.1206,33.9506,-11.83,58.5838,309.3685,73.4585,7,2,2,3,2,12,4,12.4,low
1998-04,1998,4,60.2753,61.9097,-1.6344,147.3526,295.6289,99.5042,7,7,1,14,6,28,7,28.7,moderate
1998-05,1998,5,63.1417,49.0177,14.124,202.8404,408.7768,134.6741,3,3,1,6,2,12,3,12.3,low
1998-06,1998,6,30.8785,23.4404,7.4381,117.4554,467.6484,131.1462,2,1,0,1,0,4,0,4.0,low
1998-07,1998,7,23.0529,20.9574,2.0955,62.583,382.8788,107.0691,29,2,1,4,85,35,86,43.6,moderate
1998-08,1998,8,20.1314,24.2402,-4.1088,63.8806,243.9191,89.2796,2,1,213,3,225,6,438,16.0,low
1998-09,1998,9,20.2765,21.2376,-0.9611,61.9344,188.398,95.225,0,2,2,5,2,7,4,7.4,low
1998-10,1998,10,27.5778,34.3943,-6.8165,75.3568,201.1717,80.4165,26,24,281,28,286,78,567,88.0,high
1998-11,1998,11,28.0276,46.6301,-18.6025,90.4662,227.7573,63.7146,1,0,0,3,0,4,0,4.0,low
1998-12,1998,12,8.2122,27.4213,-19.2091,39.2438,205.0668,43.4529,1,4,0,5,0,10,0,10.0,low
1999-01,1999,1,13.1784,14.8468,-1.6684,38.3955,168.1055,88.3047,18,8,1,18,12,44,13,45.3,moderate
1999-02,1999,2,4.5442,13.7901,-9.2459,17.785,95.4243,58.6602,9,2,0,12,8,23,8,23.8,moderate
1999-03,1999,3,52.0164,33.9506,18.0658,113.5784,169.7589,149.3045,6,9,101,12,104,27,205,37.0,moderate
1999-04,1999,4,52.2191,61.9097,-9.6906,157.0166,288.38,84.8203,2,4,1,7,1,13,2,13.2,low
1999-05,1999,5,33.9365,49.0177,-15.0812,117.7568,388.3518,70.0766,0,5,0,11,2,16,2,16.2,low
1999-06,1999,6,19.8378,23.4404,-3.6026,69.4519,344.2254,87.5339,9,4,8,10,21,23,29,25.9,moderate
1999-07,1999,7,19.8395,20.9574,-1.1179,55.956,243.1648,96.7287,5,2,0,13,0,20,0,20.0,low
1999-08,1999,8,26.0528,24.2402,1.8126,75.5767,200.9847,105.9237,0,2,0,15,159,17,159,27.0,moderate
1999-09,1999,9,18.2251,21.2376,-3.0125,63.4546,194.9873,87.8997,0,1,0,4,1,5,1,5.1,low
1999-10,1999,10,32.5958,34.3943,-1.7985,90.7724,229.8037,92.2694,3,6,0,10,3,19,3,19.3,low
1999-11,1999,11,52.4605,46.6301,5.8304,116.859,271.0859,106.9701,0,7,13,12,13,19,26,21.6,low
1999-12,1999,12,26.0275,27.4213,-1.3938,121.2432,328.8745,94.4671,4,5,15,10,15,19,30,22.0,low
2000-01,2000,1,6.2367,14.8468,-8.6101,35.4024,273.5045,60.5934,1,6,18,7,28,14,46,18.6,low
2000-02,2000,2,4.8205,13.7901,-8.9696,16.3728,173.0184,57.6387,1,4,87,11,93,16,180,26.0,moderate
2000-03,2000,3,19.2826,33.9506,-14.668,45.7126,97.4879,62.1228,3,6,20,8,22,17,42,21.2,low
2000-04,2000,4,37.4706,61.9097,-24.4391,91.1576,153.2431,60.9536,2,6,28,17,72,25,100,35.0,moderate
2000-05,2000,5,38.9506,49.0177,-10.0671,116.3079,253.1782,78.5073,0,7,17,12,37,19,54,24.4,moderate
2000-06,2000,6,20.637,23.4404,-2.8034,77.1609,284.6265,91.4516,11,7,17,13,42,31,59,36.9,moderate
